slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
arkham,,!offer:arkham,"[""[Dashboard](https://intel.arkm.com/explorer/entity/avalanche)""]",mainnet,,,,,,,,,
artemis,,!offer:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/avalanche?from=assets)""]",mainnet,,,,,,,,,
blockworks,,!offer:blockworks,"[""[Dashboard](https://blockworks.com/analytics/avalanche)""]",mainnet,,,,,,,,,
bubblemaps,,!offer:bubblemaps,"[""[Dashboard](https://v2.bubblemaps.io/avalanche)""]",mainnet,,,,,,,,,
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
coinglass,,!offer:coinglass,"[""[Dashboard](https://www.coinglass.com/currencies/AVAX)""]",mainnet,,,,,,,,,
coinmarketcap-basic,,!offer:coinmarketcap-basic,,mainnet,,,,,,,,,
coinmarketcap-hobbyist,,!offer:coinmarketcap-hobbyist,,mainnet,,,,,,,,,
coinmarketcap-professional,,!offer:coinmarketcap-professional,,mainnet,,,,,,,,,
coinmarketcap-standard,,!offer:coinmarketcap-standard,,mainnet,,,,,,,,,
coinmarketcap-startup,,!offer:coinmarketcap-startup,,mainnet,,,,,,,,,
cryptoquant-mainnet-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/avax/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/avax/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/avax/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/avax/summary)""]",mainnet,,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/avalanche)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/avalanche)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/avalanche)""]",mainnet,,,,,,,,,
dexscreener,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/avalanche)""]",mainnet,,,,,,,,,
dune-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/avalanche_c)""]",mainnet,,,,,,,,,
dune-enterprise,,!offer:dune-enterprise,"[""[Dashboard](https://dune.com/blockchains/avalanche_c)""]",mainnet,,,,,,,,,
dune-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/avalanche_c)""]",mainnet,,,,,,,,,
dune-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/avalanche_c)""]",mainnet,,,,,,,,,
glassnode,,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=AVAX)""]",mainnet,,,,,,,,,
laevitas-enterprise,,!offer:laevitas-enterprise,"[""[Dashboard](https://app.laevitas.ch/assets/overview/AVAX)""]",mainnet,,,,,,,,,
laevitas-free,,!offer:laevitas-free,"[""[Dashboard](https://app.laevitas.ch/assets/overview/AVAX)""]",mainnet,,,,,,,,,
laevitas-premium,,!offer:laevitas-premium,"[""[Dashboard](https://app.laevitas.ch/assets/overview/AVAX)""]",mainnet,,,,,,,,,
lunarcrush-builder,,!offer:lunarcrush-builder,"[""[Dashboard](https://lunarcrush.com/en/topic/avalanche-avax)""]",mainnet,,,,,,,,,
lunarcrush-hobby,,!offer:lunarcrush-hobby,"[""[Dashboard](https://lunarcrush.com/en/topic/avalanche-avax)""]",mainnet,,,,,,,,,
lunarcrush-individual,,!offer:lunarcrush-individual,"[""[Dashboard](https://lunarcrush.com/en/topic/avalanche-avax)""]",mainnet,,,,,,,,,
lunarcrush-scale,,!offer:lunarcrush-scale,"[""[Dashboard](https://lunarcrush.com/en/topic/avalanche-avax)""]",mainnet,,,,,,,,,
messari,,!offer:messari,"[""[Dashboard](https://messari.io/project/avalanche)""]",mainnet,,,,,,,,,
nansen,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=avalanche)""]",mainnet,,,,,,,,,
santiment-business-max,,!offer:santiment-business-max,,mainnet,,,,,,,,,
santiment-business-pro,,!offer:santiment-business-pro,,mainnet,,,,,,,,,
santiment-free,,!offer:santiment-free,,mainnet,,,,,,,,,
santiment-sanbase-max,,!offer:santiment-sanbase-max,,mainnet,,,,,,,,,
santiment-sanbase-pro,,!offer:santiment-sanbase-pro,,mainnet,,,,,,,,,
tokenterminal,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/avalanche)""]",mainnet,,,,,,,,,
zapper,,!offer:zapper,"[""[Dashboard](https://zapper.xyz/)""]",mainnet,,,,,,,,,
