slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alchemy-pay,,!offer:alchemy-pay,,,,,,,,
banxa,,!offer:banxa,"[""[Website](https://banxa.com/)"",""[Docs](https://docs.banxa.com/products/hosted-checkout/docs/reference/supported-cryptocurrencies-and-blockchains)""]",,,"[""AF"",""CU"",""IR"",""KP"",""SY"",""PR"",""GB"",""US"",""VI""]",,,,
btcdirect,,!offer:btcdirect,,,,,,,,
finchpay,,!offer:finchpay,,,,,,,,
meld,,!offer:meld,,,,,,,,
mercuryo,,!offer:mercuryo,,,,,,,,
moonpay,,!offer:moonpay,"[""[Website](https://www.moonpay.com/buy/algo)""]",,,,,,,
onramp-money,,!offer:onramp-money,,,,,,,,
onramper,,!offer:onramper,,,,,,,,
ramp-network,,!offer:ramp-network,,,,,,,,
switchere,,!offer:switchere,,,,,,,,
topper,,!offer:topper,,,,,,,,
trans-fi,,!offer:trans-fi,,,,,,,,
transak,,!offer:transak,"[""[Website](https://transak.com/buy/algo)""]",,,,,,,
