slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
3xpl-mcp,,!offer:3xpl-mcp,,,,,,,,,,,,,,,,,,,,
agenti,,!offer:agenti,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-address-history,,!offer:cryptoapis-mcp-address-history,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-address-latest,,!offer:cryptoapis-mcp-address-latest,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-block-data,,!offer:cryptoapis-mcp-block-data,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-blockchain-fees,,!offer:cryptoapis-mcp-blockchain-fees,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-broadcast,,!offer:cryptoapis-mcp-broadcast,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-hd-wallet,,!offer:cryptoapis-mcp-hd-wallet,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-http-server,,!offer:cryptoapis-mcp-http-server,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-hub,,!offer:cryptoapis-mcp-hub,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-signer,,!offer:cryptoapis-mcp-signer,,,,,,,,,,,,,,,,,,,,
cryptoapis-mcp-transactions-data,,!offer:cryptoapis-mcp-transactions-data,,,,,,,,,,,,,,,,,,,,
misttrack-mcp,,!offer:misttrack-mcp,,,,,,,,,,,,,,,,,,,,
tatum-blockchain-mcp,,!offer:tatum-blockchain-mcp,,,,,,,,,,,,,,,,,,,,
universal-crypto-mcp,,!offer:universal-crypto-mcp,,,,,,,,,,,,,,,,,,,,
universal-crypto-mcp-http,,!offer:universal-crypto-mcp-http,,,,,,,,,,,,,,,,,,,,
web3-mcp,,!offer:web3-mcp,,,,,,,,,,,,,,,,,,,,
whale-tracker-mcp,,!offer:whale-tracker-mcp,,,,,,,,,,,,,,,,,,,,
